RANK,CHEMICAL,TOTAL_RELEASES,N_FACILITIES,N_YEARS_REPORTED,CARCINOGEN,PBT,PFAS,CLASSIFICATION
1,Zinc compounds,324874442.513,256,15,NO,NO,NO,TRI
2,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),146326783.325,68,15,NO,NO,NO,TRI
3,Nitrate compounds (water dissociable; reportable only when in aqueous solution),119407442.738,175,15,NO,NO,NO,TRI
4,Manganese compounds,81102538.715,119,15,NO,NO,NO,TRI
5,n-Hexane,67924034.984,87,15,NO,NO,NO,TRI
6,Asbestos (friable),63951835.0,3,10,YES,NO,NO,TRI
7,Carbon disulfide,47570707.995,10,15,NO,NO,NO,TRI
8,Ammonia,46133698.199,176,15,NO,NO,NO,TRI
9,Copper,44291496.474,247,15,NO,NO,NO,TRI
10,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",34937023.557,49,15,NO,NO,NO,TRI
11,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",28395269.127,65,15,NO,NO,NO,TRI
12,Manganese  And Manganese Compounds,23588052.574,50,7,NO,NO,NO,TRI
13,Methanol,22621259.712,139,15,NO,NO,NO,TRI
14,Vanadium compounds,21226075.037,33,15,NO,NO,NO,TRI
15,Chromium compounds (except for chromite ore mined in the Transvaal Region),20987541.916,127,15,NO,NO,NO,TRI
16,Certain glycol ethers,16807062.777,202,15,NO,NO,NO,TRI
17,Lead compounds,16339972.929,245,15,NO,YES,NO,PBT
18,Toluene,14027118.671,174,15,NO,NO,NO,TRI
19,Copper compounds,12742514.488,132,15,NO,NO,NO,TRI
20,Manganese,12546764.57,250,15,NO,NO,NO,TRI
21,Hydrogen fluoride,10889925.233,52,15,NO,NO,NO,TRI
22,Ethylene,10595493.916,13,15,NO,NO,NO,TRI
23,Nickel compounds,9846800.603,106,15,YES,NO,NO,TRI
24,Lead,9251944.781,414,15,YES,YES,NO,PBT
25,n-Butyl alcohol,9129415.061,75,15,NO,NO,NO,TRI
