CHEMICAL,YEAR,TOTAL_RELEASES,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,AIR_RELEASE_TOTAL,WATER_RELEASE_TOTAL,OFF-SITE TREATED TOTAL,6.2 - TOTAL TRANSFER,PRODUCTION WSTE (8.1-8.7),CARCINOGEN,PBT,PFAS,CLASSIFICATION,METAL,METAL CATEGORY,N_REPORTING_FACILITIES,PRODUCTION_NORMALISED_RELEASE
"1,1,1,2-Tetrachloro-2-fluoroethane (HCFC-121a)",2020,10.392,10.0,0.392,10.0,0.0,183.659,184.05,194.05,NO,NO,NO,TRI,NO,Non_Metal,1,0.05355320793609894
"1,1,1,2-Tetrachloroethane",2010,10.0,2.0,8.0,2.0,0.0,0.0,8.0,31528.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.00031717838112154274
"1,1,1,2-Tetrachloroethane",2011,9.0,2.0,7.0,2.0,0.0,10.0,17.0,35833.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.00025116512711746155
"1,1,1,2-Tetrachloroethane",2012,8.0,2.0,6.0,2.0,0.0,6.0,12.0,23741.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.0003369697990817573
"1,1,1,2-Tetrachloroethane",2013,4.0,1.0,3.0,1.0,0.0,6.0,9.0,19169.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.00020867024883927174
"1,1,1,2-Tetrachloroethane",2014,3.0,1.0,2.0,1.0,0.0,4.0,6.0,20853.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.00014386419220256078
"1,1,1,2-Tetrachloroethane",2015,3.0,1.0,2.0,1.0,0.0,9.0,11.0,22538.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.0001331085278196823
"1,1,1,2-Tetrachloroethane",2016,4.0,1.0,3.0,1.0,0.0,8.0,11.0,23228.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.00017220595832615808
"1,1,1,2-Tetrachloroethane",2017,7.0,1.0,6.0,1.0,0.0,7.0,13.0,28677.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.0002440980576768839
"1,1,1,2-Tetrachloroethane",2018,7.0,1.0,6.0,1.0,0.0,7.0,13.0,25991.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.00026932399676811203
"1,1,1,2-Tetrachloroethane",2019,2.0,0.0,2.0,0.0,0.0,3.0,5.0,10895.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.0001835704451583295
"1,1,1-Trichloroethane",2011,1028.0,1021.0,7.0,1021.0,0.0,6.0,4335.0,26135.0,NO,NO,NO,TRI,NO,Non_Metal,2,0.0393342261335374
"1,1,1-Trichloroethane",2012,500.0,500.0,0.0,500.0,0.0,0.0,250.0,750.0,NO,NO,NO,TRI,NO,Non_Metal,1,0.6666666666666666
"1,1,1-Trichloroethane",2013,500.0,500.0,0.0,500.0,0.0,0.0,5280.0,5780.0,NO,NO,NO,TRI,NO,Non_Metal,1,0.08650519031141868
"1,1,1-Trichloroethane",2014,1002.0,1000.0,2.0,1000.0,0.0,4.82,256.82,14094.82,NO,NO,NO,TRI,NO,Non_Metal,3,0.0710899465193596
"1,1,1-Trichloroethane",2016,12.0,10.0,2.0,10.0,0.0,6.0,8.0,19318.0,NO,NO,NO,TRI,NO,Non_Metal,1,0.0006211823170100424
"1,1,1-Trichloroethane",2017,4.0,0.0,4.0,0.0,0.0,5.0,9.0,36418.0,NO,NO,NO,TRI,NO,Non_Metal,2,0.0001098357954857488
"1,1,1-Trifluoro-N-[(trifluoromethyl)sulfonyl] methanesulfonamide (TFSI)",2024,152.0,146.0,6.0,0.0,146.0,1034.0,1040.0,1186.0,NO,NO,YES,TRI,NO,Non_Metal,1,0.1281618887015177
"1,1,2,2-Tetrachloroethane",2010,19.0,2.0,17.0,2.0,0.0,0.0,17.0,31589.0,YES,NO,NO,TRI,NO,Non_Metal,1,0.0006014751970622685
