TRIFID,YEAR,FACILITY NAME,CITY,COUNTY,TOTAL_RELEASES,AIR_RELEASE_TOTAL,WATER_RELEASE_TOTAL,ON_SITE_RELEASE_TOTAL,OFF_SITE_RELEASE_TOTAL,FLAG_MISSING_RELEASE,FLAG_ZERO_RELEASE,FLAG_FORM_A,FLAG_SUDDEN_CHANGE,N_CHEMICALS_REPORTED
60002PCKRD782PI,2010,PICKARD INC,ANTIOCH,LAKE,461.683,82.18,0.0,82.18,379.503,0,0,0,0,1
60002PCKRD782PI,2011,PICKARD INC,ANTIOCH,LAKE,542.833,81.77,0.0,81.77,461.063,0,0,0,0,1
60002PCKRD782PI,2012,PICKARD INC,ANTIOCH,LAKE,464.293,82.01,0.0,82.01,382.283,0,0,0,0,1
60002PCKRD782PI,2013,PICKARD INC,ANTIOCH,LAKE,488.613,81.87,0.0,81.87,406.743,0,0,0,0,1
60002PCKRD782PI,2014,PICKARD INC,ANTIOCH,LAKE,451.395,81.93,0.0,81.93,369.465,0,0,0,0,1
60002PCKRD782PI,2015,PICKARD INC,ANTIOCH,LAKE,253.153,40.95,0.0,40.95,212.203,0,0,0,0,1
60002PCKRD782PI,2016,PICKARD INC,ANTIOCH,LAKE,248.798,40.95,0.0,40.95,207.848,0,0,0,0,1
60002PCKRD782PI,2017,PICKARD INC,ANTIOCH,LAKE,236.488,40.95,0.0,40.95,195.538,0,0,0,0,1
60002PCKRD782PI,2018,PICKARD INC,ANTIOCH,LAKE,229.503,40.95,0.0,40.95,188.553,0,0,0,0,1
60002VHCLM151SR,2010,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2011,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2012,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2013,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2014,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2015,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2016,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2017,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2018,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2019,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2020,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2021,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60002VHCLM151SR,2022,IMMI VEHICLE IMPROVEMENT PRODUCTS,ANTIOCH,LAKE,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1
60005BRKND511WA,2010,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2011,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2012,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2013,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2014,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2015,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2016,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2017,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2018,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2019,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2020,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,405.23,0.0,0.0,405.23,0.0,0,4,0,0,5
60005BRKND511WA,2021,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2022,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2023,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005BRKND511WA,2024,BUHRKE INDUSTRIES LLC,ARLINGTON HEIGHTS,COOK,0.0,0.0,0.0,0.0,0.0,0,4,0,0,4
60005DSPLN1605A,2010,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,4735.3,4732.0,3.3,4735.3,0.0,0,0,0,0,8
60005DSPLN1605A,2011,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,4557.5,4469.0,3.5,4472.5,85.0,0,0,0,1,8
60005DSPLN1605A,2012,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,4226.3,4226.0,0.3,4226.3,0.0,0,0,0,0,8
60005DSPLN1605A,2013,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,4220.4,4219.0,1.4,4220.4,0.0,0,0,0,1,8
60005DSPLN1605A,2014,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,4778.668,4625.0,7.058,4632.058,146.61,0,0,0,0,8
60005DSPLN1605A,2015,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,6301.675,6020.0,3.653,6023.653,278.022,0,0,0,0,8
60005DSPLN1605A,2016,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,5527.361000000001,5523.0,0.37,5523.37,3.991,0,0,0,0,9
60005DSPLN1605A,2017,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,5497.932,5490.0,0.509,5490.509,7.423,0,0,0,0,9
60005DSPLN1605A,2018,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,5802.0740000000005,5491.33,7.0,5498.33,303.744,0,0,0,0,12
60005DSPLN1605A,2019,TRITON WEST LLC - SHELL DES PLAINES TERMINAL,ARLINGTON HEIGHTS,COOK,5399.784,5291.49,7.27,5298.76,101.024,0,0,0,1,12
