INDUSTRY SECTOR,YEAR,TOTAL_RELEASES,AIR_RELEASE_TOTAL,WATER_RELEASE_TOTAL,N_UNIQUE_FACILITIES,N_UNIQUE_CHEMICALS,N_CHEMICAL_REPORTS
Beverages,2010,6344.0,613.0,5731.0,1,7,7
Beverages,2011,7157.0,2044.0,5113.0,2,7,8
Beverages,2012,5968.0,997.0,4971.0,2,7,8
Beverages,2013,5665.0,952.0,4713.0,2,7,8
Beverages,2014,24217.0,24217.0,0.0,2,13,14
Beverages,2015,24060.0,24060.0,0.0,2,13,14
Beverages,2016,24384.0,24384.0,0.0,2,13,14
Beverages,2017,39985.0,22997.0,16988.0,2,10,11
Beverages,2018,39297.0,25233.0,14064.0,2,10,11
Beverages,2019,34074.0,23236.0,10838.0,3,9,11
Beverages,2020,34302.0,24771.0,9531.0,3,9,11
Beverages,2021,233853.0,137997.0,95856.0,2,14,22
Beverages,2022,420381.0,324095.0,96286.0,2,14,23
Beverages,2023,230862.0,141529.0,89333.0,1,9,17
Beverages,2024,266656.0,141739.0,124917.0,1,9,17
Chemical Wholesalers,2010,59869.020000000004,22931.02,0.0,15,35,88
Chemical Wholesalers,2011,39772.21,21356.21,0.0,15,32,98
Chemical Wholesalers,2012,22443.04,22443.04,0.0,15,30,97
Chemical Wholesalers,2013,24142.55,24142.55,0.0,17,34,96
Chemical Wholesalers,2014,26190.635,24572.635,0.0,18,38,102
Chemical Wholesalers,2015,21321.517,21321.517,0.0,16,36,98
Chemical Wholesalers,2016,24893.09,24893.09,0.0,16,36,107
Chemical Wholesalers,2017,67372.23,67372.23,0.0,18,43,119
Chemical Wholesalers,2018,57224.148,56974.148,0.0,16,33,104
Chemical Wholesalers,2019,69841.604,69014.714,0.0,20,39,109
Chemical Wholesalers,2020,105402.139,9529.769,0.0,14,34,84
Chemical Wholesalers,2021,20158.66,20158.66,0.0,14,33,78
Chemical Wholesalers,2022,17652.45,17641.605,0.0,12,25,62
Chemical Wholesalers,2023,48445.537,13960.052,0.0,11,25,64
Chemical Wholesalers,2024,40553.094,13315.683,0.0,12,25,69
Chemicals,2010,8656598.024,5816282.233,241386.496,223,175,1122
Chemicals,2011,8036259.58,5847548.483,325772.292,220,180,1116
Chemicals,2012,8685072.032,5904722.984,483218.789,220,181,1086
Chemicals,2013,7336327.068,5397710.232,489503.319,220,188,1074
